day, S0 -6.000000|-6.000000,S1 -6.000000|-2.000000,S2 -6.000000|2.000000,S3 -6.000000|6.000000,S4 -2.000000|-6.000000,S5 -2.000000|-2.000000,S6 -2.000000|2.000000,S7 -2.000000|6.000000,S8 2.000000|-6.000000,S9 2.000000|-2.000000,S10 2.000000|2.000000,S11 2.000000|6.000000,S12 6.000000|-6.000000,S13 6.000000|-2.000000,S14 6.000000|2.000000,S15 6.000000|6.000000
79, 5.8562112,5.2393403,5.5822415,5.3339429,5.4319210,4.8180714,5.0090189,4.9939156,5.4098630,4.7203913,5.0016789,4.9085250,5.6930780,5.2900906,5.2561140,5.5457506
80, 5.8393178,5.2202315,5.5630651,5.3161626,5.4149151,4.7957368,4.9874258,4.9739904,5.3914499,4.6972175,4.9807506,4.8891802,5.6750379,5.2695875,5.2342877,5.5281129
81, 5.8221025,5.2008424,5.5419483,5.2966347,5.3950906,4.7758341,4.9669142,4.9536090,5.3726931,4.6746321,4.9580708,4.8700929,5.6576695,5.2497063,5.2120066,5.5101871
82, 5.8037410,5.1817365,5.5217066,5.2791023,5.3771420,4.7540274,4.9428244,4.9330983,5.3532057,4.6537914,4.9363995,4.8480773,5.6389947,5.2315917,5.1882892,5.4920735
83, 5.7858062,5.1622257,5.5010710,5.2605247,5.3568678,4.7315030,4.9191751,4.9126477,5.3326602,4.6304750,4.9136496,4.8269110,5.6195927,5.2095819,5.1651683,5.4724507
84, 5.7677646,5.1414065,5.4801736,5.2421398,5.3377542,4.7089534,4.8946829,4.8915839,5.3132386,4.6066880,4.8887939,4.8043423,5.6002030,5.1877050,5.1440320,5.4522057
85, 5.7479873,5.1204815,5.4584842,5.2230167,5.3184028,4.6858869,4.8711033,4.8704157,5.2919741,4.5839305,4.8654494,4.7840528,5.5807900,5.1663465,5.1211791,5.4336157
86, 5.7299528,5.0994077,5.4374270,5.2034674,5.2977319,4.6625404,4.8472314,4.8488593,5.2723293,4.5600700,4.8409767,4.7617354,5.5615392,5.1460457,5.0981870,5.4137421
87, 5.7102098,5.0776739,5.4161506,5.1831799,5.2757645,4.6391129,4.8239007,4.8261333,5.2532907,4.5357308,4.8178277,4.7396312,5.5419979,5.1247730,5.0730948,5.3935862
88, 5.6921873,5.0564070,5.3946691,5.1640215,5.2548761,4.6164360,4.7984376,4.8044643,5.2322884,4.5109777,4.7924581,4.7173448,5.5233984,5.1034708,5.0502887,5.3758359
89, 5.6734757,5.0356712,5.3737988,5.1435905,5.2346811,4.5931067,4.7740955,4.7820320,5.2120953,4.4859862,4.7688279,4.6932616,5.5023079,5.0816870,5.0274882,5.3562655
90, 5.6544294,5.0156484,5.3519802,5.1231809,5.2125034,4.5705009,4.7498488,4.7608404,5.1915855,4.4602413,4.7449441,4.6706886,5.4825926,5.0601869,5.0023265,5.3360329
91, 5.6334424,4.9910226,5.3294182,5.1016531,5.1905746,4.5459561,4.7253242,4.7404032,5.1711874,4.4346504,4.7197461,4.6489439,5.4622717,5.0389295,4.9791651,5.3160963
92, 5.6139283,4.9693589,5.3074365,5.0821509,5.1687803,4.5221543,4.7010708,4.7181821,5.1497111,4.4089670,4.6948061,4.6266894,5.4407701,5.0169129,4.9554462,5.2962070
93, 5.5952172,4.9468646,5.2851553,5.0605350,5.1478724,4.4983525,4.6765022,4.6944618,5.1288695,4.3839540,4.6707826,4.6042628,5.4212012,4.9947472,4.9316702,5.2748504
